Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,87031,2019,1,1,24.6,1,N
IDCJAC0010,87031,2019,1,2,23.1,1,N
IDCJAC0010,87031,2019,1,3,30.8,1,N
IDCJAC0010,87031,2019,1,4,43.8,1,N
IDCJAC0010,87031,2019,1,5,21.0,1,N
IDCJAC0010,87031,2019,1,6,21.7,1,N
IDCJAC0010,87031,2019,1,7,23.4,1,N
IDCJAC0010,87031,2019,1,8,24.6,1,N
IDCJAC0010,87031,2019,1,9,20.7,1,N
IDCJAC0010,87031,2019,1,10,21.9,1,N
IDCJAC0010,87031,2019,1,11,28.9,1,N
IDCJAC0010,87031,2019,1,12,25.6,1,N
IDCJAC0010,87031,2019,1,13,28.8,1,N
IDCJAC0010,87031,2019,1,14,33.6,1,N
IDCJAC0010,87031,2019,1,15,30.4,1,N
IDCJAC0010,87031,2019,1,16,26.8,1,N
IDCJAC0010,87031,2019,1,17,35.0,1,N
IDCJAC0010,87031,2019,1,18,27.6,1,N
IDCJAC0010,87031,2019,1,19,24.3,1,N
IDCJAC0010,87031,2019,1,20,23.8,1,N
IDCJAC0010,87031,2019,1,21,27.4,1,N
IDCJAC0010,87031,2019,1,22,29.8,1,N
IDCJAC0010,87031,2019,1,23,24.7,1,N
IDCJAC0010,87031,2019,1,24,37.0,1,N
IDCJAC0010,87031,2019,1,25,44.8,1,N
IDCJAC0010,87031,2019,1,26,26.2,1,N
IDCJAC0010,87031,2019,1,27,28.4,1,N
IDCJAC0010,87031,2019,1,28,32.1,1,N
IDCJAC0010,87031,2019,1,29,37.7,1,N
IDCJAC0010,87031,2019,1,30,34.0,1,N
IDCJAC0010,87031,2019,1,31,22.0,1,N
IDCJAC0010,87031,2019,2,1,22.3,1,Y
IDCJAC0010,87031,2019,2,2,31.6,1,Y
IDCJAC0010,87031,2019,2,3,35.2,1,Y
IDCJAC0010,87031,2019,2,4,23.1,1,Y
IDCJAC0010,87031,2019,2,5,26.8,1,Y
IDCJAC0010,87031,2019,2,6,31.9,1,Y
IDCJAC0010,87031,2019,2,7,28.7,1,Y
IDCJAC0010,87031,2019,2,8,22.6,1,Y
IDCJAC0010,87031,2019,2,9,20.5,1,Y
IDCJAC0010,87031,2019,2,10,23.7,1,Y
IDCJAC0010,87031,2019,2,11,29.2,1,Y
IDCJAC0010,87031,2019,2,12,22.0,1,Y
IDCJAC0010,87031,2019,2,13,19.9,1,Y
IDCJAC0010,87031,2019,2,14,23.7,1,Y
IDCJAC0010,87031,2019,2,15,22.7,1,Y
IDCJAC0010,87031,2019,2,16,23.9,1,Y
IDCJAC0010,87031,2019,2,17,27.5,1,Y
IDCJAC0010,87031,2019,2,18,23.9,1,Y
IDCJAC0010,87031,2019,2,19,20.6,1,Y
IDCJAC0010,87031,2019,2,20,24.1,1,Y
IDCJAC0010,87031,2019,2,21,20.8,1,Y
IDCJAC0010,87031,2019,2,22,22.1,1,Y
IDCJAC0010,87031,2019,2,23,24.6,1,Y
IDCJAC0010,87031,2019,2,24,33.3,1,Y
IDCJAC0010,87031,2019,2,25,35.4,1,Y
IDCJAC0010,87031,2019,2,26,23.3,1,Y
IDCJAC0010,87031,2019,2,27,28.3,1,Y
IDCJAC0010,87031,2019,2,28,38.5,1,Y
IDCJAC0010,87031,2019,3,1,38.9,1,N
IDCJAC0010,87031,2019,3,2,37.2,1,N
IDCJAC0010,87031,2019,3,3,39.1,1,N
IDCJAC0010,87031,2019,3,4,26.3,1,N
IDCJAC0010,87031,2019,3,5,24.8,1,N
IDCJAC0010,87031,2019,3,6,18.1,1,N
IDCJAC0010,87031,2019,3,7,20.9,1,N
IDCJAC0010,87031,2019,3,8,28.0,1,N
IDCJAC0010,87031,2019,3,9,25.1,1,N
IDCJAC0010,87031,2019,3,10,25.6,1,N
IDCJAC0010,87031,2019,3,11,22.8,1,N
IDCJAC0010,87031,2019,3,12,19.5,1,N
IDCJAC0010,87031,2019,3,13,19.3,1,N
IDCJAC0010,87031,2019,3,14,21.7,1,N
IDCJAC0010,87031,2019,3,15,22.0,1,N
IDCJAC0010,87031,2019,3,16,26.8,1,N
IDCJAC0010,87031,2019,3,17,25.6,1,N
IDCJAC0010,87031,2019,3,18,26.4,1,N
IDCJAC0010,87031,2019,3,19,23.7,1,N
IDCJAC0010,87031,2019,3,20,23.5,1,N
IDCJAC0010,87031,2019,3,21,25.4,1,N
IDCJAC0010,87031,2019,3,22,28.1,1,N
IDCJAC0010,87031,2019,3,23,33.1,1,N
IDCJAC0010,87031,2019,3,24,30.9,1,N
IDCJAC0010,87031,2019,3,25,18.5,1,N
IDCJAC0010,87031,2019,3,26,21.5,1,N
IDCJAC0010,87031,2019,3,27,21.2,1,N
IDCJAC0010,87031,2019,3,28,29.2,1,N
IDCJAC0010,87031,2019,3,29,30.0,1,N
IDCJAC0010,87031,2019,3,30,17.1,1,N
IDCJAC0010,87031,2019,3,31,19.9,1,N
IDCJAC0010,87031,2019,4,1,17.4,1,N
IDCJAC0010,87031,2019,4,2,26.8,1,N
IDCJAC0010,87031,2019,4,3,25.2,1,N
IDCJAC0010,87031,2019,4,4,22.6,1,N
IDCJAC0010,87031,2019,4,5,29.6,1,N
IDCJAC0010,87031,2019,4,6,21.5,1,N
IDCJAC0010,87031,2019,4,7,27.1,1,N
IDCJAC0010,87031,2019,4,8,23.4,1,N
IDCJAC0010,87031,2019,4,9,16.6,1,N
IDCJAC0010,87031,2019,4,10,17.4,1,N
IDCJAC0010,87031,2019,4,11,17.4,1,N
IDCJAC0010,87031,2019,4,12,23.3,1,N
IDCJAC0010,87031,2019,4,13,20.6,1,N
IDCJAC0010,87031,2019,4,14,22.6,1,N
IDCJAC0010,87031,2019,4,15,27.9,1,N
IDCJAC0010,87031,2019,4,16,31.6,1,N
IDCJAC0010,87031,2019,4,17,31.6,1,N
IDCJAC0010,87031,2019,4,18,18.0,1,N
IDCJAC0010,87031,2019,4,19,21.1,1,N
IDCJAC0010,87031,2019,4,20,31.3,1,N
IDCJAC0010,87031,2019,4,21,28.4,1,N
IDCJAC0010,87031,2019,4,22,16.9,1,N
IDCJAC0010,87031,2019,4,23,18.4,1,N
IDCJAC0010,87031,2019,4,24,22.6,1,N
IDCJAC0010,87031,2019,4,25,21.7,1,N
IDCJAC0010,87031,2019,4,26,15.6,1,N
IDCJAC0010,87031,2019,4,27,15.8,1,N
IDCJAC0010,87031,2019,4,28,17.6,1,N
IDCJAC0010,87031,2019,4,29,17.7,1,N
IDCJAC0010,87031,2019,4,30,23.5,1,N
IDCJAC0010,87031,2019,5,1,23.4,1,Y
IDCJAC0010,87031,2019,5,2,21.0,1,Y
IDCJAC0010,87031,2019,5,3,21.1,1,Y
IDCJAC0010,87031,2019,5,4,16.4,1,Y
IDCJAC0010,87031,2019,5,5,17.1,1,Y
IDCJAC0010,87031,2019,5,6,17.1,1,Y
IDCJAC0010,87031,2019,5,7,19.8,1,Y
IDCJAC0010,87031,2019,5,8,17.3,1,Y
IDCJAC0010,87031,2019,5,9,16.3,1,Y
IDCJAC0010,87031,2019,5,10,13.4,1,Y
IDCJAC0010,87031,2019,5,11,15.9,1,Y
IDCJAC0010,87031,2019,5,12,18.0,1,Y
IDCJAC0010,87031,2019,5,13,19.1,1,Y
IDCJAC0010,87031,2019,5,14,20.0,1,Y
IDCJAC0010,87031,2019,5,15,16.8,1,Y
IDCJAC0010,87031,2019,5,16,16.8,1,Y
IDCJAC0010,87031,2019,5,17,18.8,1,Y
IDCJAC0010,87031,2019,5,18,18.8,1,Y
IDCJAC0010,87031,2019,5,19,22.0,1,Y
IDCJAC0010,87031,2019,5,20,19.1,1,Y
IDCJAC0010,87031,2019,5,21,20.2,1,Y
IDCJAC0010,87031,2019,5,22,21.9,1,Y
IDCJAC0010,87031,2019,5,23,22.8,1,Y
IDCJAC0010,87031,2019,5,24,21.7,1,Y
IDCJAC0010,87031,2019,5,25,19.7,1,Y
IDCJAC0010,87031,2019,5,26,15.2,1,Y
IDCJAC0010,87031,2019,5,27,13.9,1,Y
IDCJAC0010,87031,2019,5,28,15.5,1,Y
IDCJAC0010,87031,2019,5,29,10.1,1,Y
IDCJAC0010,87031,2019,5,30,13.3,1,Y
IDCJAC0010,87031,2019,5,31,13.5,1,Y
IDCJAC0010,87031,2019,6,1,13.9,1,Y
IDCJAC0010,87031,2019,6,2,13.8,1,Y
IDCJAC0010,87031,2019,6,3,11.0,1,Y
IDCJAC0010,87031,2019,6,4,12.6,1,Y
IDCJAC0010,87031,2019,6,5,13.1,1,Y
IDCJAC0010,87031,2019,6,6,15.2,1,Y
IDCJAC0010,87031,2019,6,7,16.2,1,Y
IDCJAC0010,87031,2019,6,8,19.1,1,Y
IDCJAC0010,87031,2019,6,9,17.6,1,Y
IDCJAC0010,87031,2019,6,10,18.2,1,Y
IDCJAC0010,87031,2019,6,11,18.2,1,Y
IDCJAC0010,87031,2019,6,12,16.2,1,Y
IDCJAC0010,87031,2019,6,13,16.3,1,Y
IDCJAC0010,87031,2019,6,14,17.3,1,Y
IDCJAC0010,87031,2019,6,15,15.3,1,Y
IDCJAC0010,87031,2019,6,16,16.5,1,Y
IDCJAC0010,87031,2019,6,17,17.9,1,Y
IDCJAC0010,87031,2019,6,18,12.7,1,Y
IDCJAC0010,87031,2019,6,19,11.2,1,Y
IDCJAC0010,87031,2019,6,20,10.2,1,Y
IDCJAC0010,87031,2019,6,21,12.4,1,Y
IDCJAC0010,87031,2019,6,22,12.2,1,Y
IDCJAC0010,87031,2019,6,23,8.1,1,Y
IDCJAC0010,87031,2019,6,24,12.2,1,Y
IDCJAC0010,87031,2019,6,25,16.9,1,Y
IDCJAC0010,87031,2019,6,26,17.6,1,Y
IDCJAC0010,87031,2019,6,27,16.7,1,Y
IDCJAC0010,87031,2019,6,28,17.9,1,Y
IDCJAC0010,87031,2019,6,29,15.0,1,Y
IDCJAC0010,87031,2019,6,30,14.0,1,Y
IDCJAC0010,87031,2019,7,1,13.8,1,Y
IDCJAC0010,87031,2019,7,2,15.6,1,Y
IDCJAC0010,87031,2019,7,3,14.0,1,Y
IDCJAC0010,87031,2019,7,4,12.6,1,Y
IDCJAC0010,87031,2019,7,5,15.1,1,Y
IDCJAC0010,87031,2019,7,6,17.7,1,Y
IDCJAC0010,87031,2019,7,7,17.0,1,Y
IDCJAC0010,87031,2019,7,8,15.4,1,Y
IDCJAC0010,87031,2019,7,9,14.8,1,Y
IDCJAC0010,87031,2019,7,10,15.0,1,Y
IDCJAC0010,87031,2019,7,11,14.4,1,Y
IDCJAC0010,87031,2019,7,12,15.1,1,Y
IDCJAC0010,87031,2019,7,13,12.0,1,Y
IDCJAC0010,87031,2019,7,14,12.8,1,Y
IDCJAC0010,87031,2019,7,15,14.8,1,Y
IDCJAC0010,87031,2019,7,16,13.8,1,Y
IDCJAC0010,87031,2019,7,17,13.9,1,Y
IDCJAC0010,87031,2019,7,18,14.8,1,Y
IDCJAC0010,87031,2019,7,19,15.6,1,Y
IDCJAC0010,87031,2019,7,20,16.9,1,Y
IDCJAC0010,87031,2019,7,21,16.0,1,Y
IDCJAC0010,87031,2019,7,22,15.9,1,Y
IDCJAC0010,87031,2019,7,23,15.2,1,Y
IDCJAC0010,87031,2019,7,24,14.9,1,Y
IDCJAC0010,87031,2019,7,25,16.5,1,Y
IDCJAC0010,87031,2019,7,26,14.0,1,Y
IDCJAC0010,87031,2019,7,27,14.6,1,Y
IDCJAC0010,87031,2019,7,28,14.6,1,Y
IDCJAC0010,87031,2019,7,29,15.4,1,Y
IDCJAC0010,87031,2019,7,30,11.9,1,Y
IDCJAC0010,87031,2019,7,31,12.1,1,Y
IDCJAC0010,87031,2019,8,1,13.5,1,Y
IDCJAC0010,87031,2019,8,2,12.8,1,Y
IDCJAC0010,87031,2019,8,3,13.5,1,Y
IDCJAC0010,87031,2019,8,4,13.2,1,Y
IDCJAC0010,87031,2019,8,5,15.3,1,Y
IDCJAC0010,87031,2019,8,6,13.8,1,Y
IDCJAC0010,87031,2019,8,7,13.5,1,Y
IDCJAC0010,87031,2019,8,8,13.1,1,Y
IDCJAC0010,87031,2019,8,9,9.6,1,Y
IDCJAC0010,87031,2019,8,10,12.8,1,Y
IDCJAC0010,87031,2019,8,11,12.7,1,Y
IDCJAC0010,87031,2019,8,12,12.6,1,Y
IDCJAC0010,87031,2019,8,13,13.4,1,Y
IDCJAC0010,87031,2019,8,14,13.6,1,Y
IDCJAC0010,87031,2019,8,15,16.5,1,Y
IDCJAC0010,87031,2019,8,16,16.3,1,Y
IDCJAC0010,87031,2019,8,17,15.1,1,Y
IDCJAC0010,87031,2019,8,18,17.6,1,Y
IDCJAC0010,87031,2019,8,19,11.8,1,Y
IDCJAC0010,87031,2019,8,20,15.9,1,Y
IDCJAC0010,87031,2019,8,21,16.2,1,Y
IDCJAC0010,87031,2019,8,22,13.2,1,Y
IDCJAC0010,87031,2019,8,23,16.2,1,Y
IDCJAC0010,87031,2019,8,24,19.6,1,Y
IDCJAC0010,87031,2019,8,25,13.5,1,Y
IDCJAC0010,87031,2019,8,26,14.7,1,Y
IDCJAC0010,87031,2019,8,27,16.1,1,Y
IDCJAC0010,87031,2019,8,28,12.6,1,Y
IDCJAC0010,87031,2019,8,29,12.1,1,Y
IDCJAC0010,87031,2019,8,30,13.3,1,Y
IDCJAC0010,87031,2019,8,31,18.0,1,Y
IDCJAC0010,87031,2019,9,1,20.3,1,N
IDCJAC0010,87031,2019,9,2,18.3,1,N
IDCJAC0010,87031,2019,9,3,19.0,1,N
IDCJAC0010,87031,2019,9,4,19.4,1,N
IDCJAC0010,87031,2019,9,5,20.0,1,N
IDCJAC0010,87031,2019,9,6,15.2,1,N
IDCJAC0010,87031,2019,9,7,13.3,1,N
IDCJAC0010,87031,2019,9,8,15.0,1,N
IDCJAC0010,87031,2019,9,9,13.3,1,N
IDCJAC0010,87031,2019,9,10,14.8,1,N
IDCJAC0010,87031,2019,9,11,22.1,1,N
IDCJAC0010,87031,2019,9,12,21.0,1,N
IDCJAC0010,87031,2019,9,13,17.9,1,N
IDCJAC0010,87031,2019,9,14,19.3,1,N
IDCJAC0010,87031,2019,9,15,20.6,1,N
IDCJAC0010,87031,2019,9,16,13.2,1,N
IDCJAC0010,87031,2019,9,17,13.0,1,N
IDCJAC0010,87031,2019,9,18,18.5,1,N
IDCJAC0010,87031,2019,9,19,23.3,1,N
IDCJAC0010,87031,2019,9,20,25.3,1,N
IDCJAC0010,87031,2019,9,21,19.6,1,N
IDCJAC0010,87031,2019,9,22,15.9,1,N
IDCJAC0010,87031,2019,9,23,15.9,1,N
IDCJAC0010,87031,2019,9,24,15.2,1,N
IDCJAC0010,87031,2019,9,25,16.0,1,N
IDCJAC0010,87031,2019,9,26,20.4,1,N
IDCJAC0010,87031,2019,9,27,18.9,1,N
IDCJAC0010,87031,2019,9,28,15.1,1,N
IDCJAC0010,87031,2019,9,29,16.0,1,N
IDCJAC0010,87031,2019,9,30,14.7,1,N
IDCJAC0010,87031,2019,10,1,20.1,1,N
IDCJAC0010,87031,2019,10,2,26.9,1,N
IDCJAC0010,87031,2019,10,3,29.8,1,N
IDCJAC0010,87031,2019,10,4,16.0,1,N
IDCJAC0010,87031,2019,10,5,24.3,1,N
IDCJAC0010,87031,2019,10,6,25.0,1,N
IDCJAC0010,87031,2019,10,7,18.3,1,N
IDCJAC0010,87031,2019,10,8,14.7,1,N
IDCJAC0010,87031,2019,10,9,15.6,1,N
IDCJAC0010,87031,2019,10,10,15.7,1,N
IDCJAC0010,87031,2019,10,11,18.2,1,N
IDCJAC0010,87031,2019,10,12,19.5,1,N
IDCJAC0010,87031,2019,10,13,23.6,1,N
IDCJAC0010,87031,2019,10,14,26.6,1,N
IDCJAC0010,87031,2019,10,15,17.8,1,N
IDCJAC0010,87031,2019,10,16,20.6,1,N
IDCJAC0010,87031,2019,10,17,16.7,1,N
IDCJAC0010,87031,2019,10,18,22.5,1,N
IDCJAC0010,87031,2019,10,19,16.1,1,N
IDCJAC0010,87031,2019,10,20,17.6,1,N
IDCJAC0010,87031,2019,10,21,16.5,1,N
IDCJAC0010,87031,2019,10,22,20.0,1,N
IDCJAC0010,87031,2019,10,23,27.6,1,N
IDCJAC0010,87031,2019,10,24,34.6,1,N
IDCJAC0010,87031,2019,10,25,23.4,1,N
IDCJAC0010,87031,2019,10,26,15.9,1,N
IDCJAC0010,87031,2019,10,27,18.0,1,N
IDCJAC0010,87031,2019,10,28,20.6,1,N
IDCJAC0010,87031,2019,10,29,31.3,1,N
IDCJAC0010,87031,2019,10,30,28.0,1,N
IDCJAC0010,87031,2019,10,31,34.8,1,N
IDCJAC0010,87031,2019,11,1,34.7,1,N
IDCJAC0010,87031,2019,11,2,19.4,1,N
IDCJAC0010,87031,2019,11,3,19.1,1,N
IDCJAC0010,87031,2019,11,4,15.9,1,N
IDCJAC0010,87031,2019,11,5,17.7,1,N
IDCJAC0010,87031,2019,11,6,24.1,1,N
IDCJAC0010,87031,2019,11,7,18.1,1,N
IDCJAC0010,87031,2019,11,8,15.4,1,N
IDCJAC0010,87031,2019,11,9,14.6,1,N
IDCJAC0010,87031,2019,11,10,18.8,1,N
IDCJAC0010,87031,2019,11,11,30.0,1,N
IDCJAC0010,87031,2019,11,12,17.5,1,N
IDCJAC0010,87031,2019,11,13,17.7,1,N
IDCJAC0010,87031,2019,11,14,23.1,1,N
IDCJAC0010,87031,2019,11,15,19.0,1,N
IDCJAC0010,87031,2019,11,16,18.2,1,N
IDCJAC0010,87031,2019,11,17,16.4,1,N
IDCJAC0010,87031,2019,11,18,28.3,1,N
IDCJAC0010,87031,2019,11,19,18.8,1,N
IDCJAC0010,87031,2019,11,20,34.8,1,N
IDCJAC0010,87031,2019,11,21,42.4,1,N
IDCJAC0010,87031,2019,11,22,19.4,1,N
IDCJAC0010,87031,2019,11,23,23.8,1,N
IDCJAC0010,87031,2019,11,24,24.2,1,N
IDCJAC0010,87031,2019,11,25,29.4,1,N
IDCJAC0010,87031,2019,11,26,17.0,1,N